Bon_ID,Fil_ID,Datum,Prod_ID,Preis,Anzahl
0101,01001,2021-07-02,2013,2.7500,5
0101,01001,2021-07-04,1204,1.2400,12
0101,01001,2021-07-05,1514,1.6300,6
0101,01001,2021-07-06,2316,2.2300,2
0101,01001,2021-07-07,1002,1.5500,7
0101,01001,2021-07-07,1012,1.1500,7
0101,01001,2021-07-07,1907,0.7500,3
0101,01001,2021-07-07,2005,2.8400,1
0101,01001,2021-07-10,1109,1.4500,3
0101,01001,2021-07-12,2302,3.3500,5
0101,01001,2021-07-16,1004,2.4900,9
0101,01001,2021-07-16,1704,2.3000,8
0101,01001,2021-07-16,1803,3.1400,5
0101,01001,2021-07-17,1703,0.7300,5
0101,01001,2021-07-19,1907,0.7500,9
0101,01001,2021-07-20,1104,1.0900,4
0101,01001,2021-07-20,1301,3.0800,8
0101,01001,2021-07-20,2001,3.1800,7
0101,01001,2021-07-20,2004,4.3500,9
0101,01001,2021-07-20,2118,1.2400,11
0101,01001,2021-07-20,2210,1.9400,4
0101,01001,2021-07-21,1314,1.8700,8
0101,01001,2021-07-21,1908,3.1600,8
0101,01001,2021-07-21,2008,2.8300,8
0101,01001,2021-07-27,1412,0.6300,3
0101,01001,2021-07-30,2116,2.3100,3
0101,01001,2021-07-31,2403,0.8000,4
0101,01001,2021-08-02,2403,0.7300,5
0101,01001,2021-08-03,1402,2.2300,7
0101,01001,2021-08-03,1601,1.6000,3
0101,01001,2021-08-03,1912,0.5900,11
0101,01001,2021-08-03,2108,1.4200,3
0101,01001,2021-08-03,2117,2.8200,4
0101,01001,2021-08-03,2305,0.7700,7
0101,01001,2021-08-03,2312,3.7100,9
0101,01001,2021-08-03,2318,0.5700,11
0101,01001,2021-08-04,1206,1.7000,4
0101,01001,2021-08-04,1403,1.3500,9
0101,01001,2021-08-04,1705,1.3900,1
0101,01001,2021-08-04,1904,2.8800,7
0101,01001,2021-08-04,2208,1.0900,2
0101,01001,2021-08-05,2406,2.7500,5
0101,01001,2021-08-06,1204,1.2000,9
0101,01001,2021-08-06,2013,3.0700,1
0101,01001,2021-08-06,2104,3.9200,2
0101,01001,2021-08-07,1911,1.9900,7
0101,01001,2021-08-08,1102,0.8600,8
0101,01001,2021-08-08,1907,0.6600,10
0101,01001,2021-08-08,2117,2.8200,3
0101,01001,2021-08-10,1108,2.9300,9
0101,01001,2021-08-10,1308,3.6500,9
0101,01001,2021-08-12,1112,1.6000,12
0101,01001,2021-08-14,1407,1.8600,12
0101,01001,2021-08-18,1102,0.8600,12
0101,01001,2021-08-18,1501,1.2400,4
0101,01001,2021-08-18,2103,0.4700,2
0101,01001,2021-08-18,2405,1.7000,10
0101,01001,2021-08-19,1012,1.2500,5
0101,01001,2021-08-19,1407,1.8600,12
0101,01001,2021-08-20,1513,2.1100,10
0101,01001,2021-08-20,1704,2.4600,7
0101,01001,2021-08-20,2104,3.9200,5
0101,01001,2021-08-20,2116,2.4700,6
0101,01001,2021-08-21,1411,1.7100,1
0101,01001,2021-08-21,1706,1.4800,1
0101,01001,2021-08-22,1310,2.8800,7
0101,01001,2021-08-22,2407,4.0500,2
0101,01001,2021-08-23,1007,1.8600,1
0101,01001,2021-08-23,1410,2.8200,12
0101,01001,2021-08-27,1001,2.8500,11
0101,01001,2021-08-27,1316,4.3500,11
0101,01001,2021-08-27,1605,1.7200,1
0101,01001,2021-08-27,1706,1.4800,6
0101,01001,2021-08-27,1805,2.9900,10
0101,01001,2021-08-27,2318,0.5700,1
0101,01001,2021-09-03,2003,2.0400,9
0101,01001,2021-09-04,1101,1.7400,3
0101,01001,2021-09-07,2216,1.1000,7
0101,01001,2021-09-10,1101,1.7400,2
0101,01001,2021-09-10,1109,1.5500,8
0101,01001,2021-09-10,1209,1.6700,4
0101,01001,2021-09-10,1404,1.1700,12
0101,01001,2021-09-10,1502,0.4900,12
0101,01001,2021-09-10,2004,4.6000,2
0101,01001,2021-09-10,2215,2.6400,8
0101,01001,2021-09-12,1109,1.5500,1
0101,01001,2021-09-12,1518,2.0000,9
0101,01001,2021-09-12,1603,3.3900,6
0101,01001,2021-09-12,1703,0.8200,11
0101,01001,2021-09-12,2218,4.3600,7
0101,01001,2021-09-12,2405,1.8200,5
0101,01001,2021-09-15,1307,1.7700,8
0101,01001,2021-09-15,1501,1.0700,4
0101,01001,2021-09-15,1903,3.3200,1
0101,01001,2021-09-15,1913,4.5200,7
0101,01001,2021-09-15,2109,4.5500,4
0101,01001,2021-09-15,2118,1.3300,10
0101,01001,2021-09-15,2315,3.6100,6
0101,01001,2021-09-18,2003,2.0400,6
0101,01001,2021-09-18,2307,3.3000,9
0101,01001,2021-09-24,1316,3.8300,9
0101,01001,2021-09-24,1607,1.7800,6
0101,01001,2021-09-24,1912,0.5100,6
0101,01001,2021-09-24,2408,1.3500,10
0101,01001,2021-09-27,2012,1.4400,6
0101,01002,2021-07-04,1508,2.4500,6
0101,01002,2021-07-04,1705,1.3400,10
0101,01002,2021-07-04,1709,3.1100,9
0101,01002,2021-07-04,1803,3.1400,8
0101,01002,2021-07-04,2102,1.1100,1
0101,01002,2021-07-04,2406,3.0400,7
